Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Memphis Grizzlies,7,240.0,36.6,80.0,.457,10.7,30.0,.357,25.9,50.0,.517,16.1,24.1,.669,9.9,35.1,45.0,23.7,5.9,5.1,17.3,23.4,100.0
2,Milwaukee Bucks,8,240.0,38.9,97.3,.400,12.0,38.1,.315,26.9,59.1,.455,16.0,21.3,.753,11.0,33.8,44.8,22.6,7.3,5.8,11.9,21.4,105.8
3,Oklahoma City Thunder,8,240.0,39.4,86.5,.455,9.3,28.0,.330,30.1,58.5,.515,22.8,28.1,.809,10.3,34.8,45.0,23.5,7.1,4.4,18.0,26.4,110.8
4,San Antonio Spurs,8,246.3,42.5,89.1,.477,10.9,29.3,.372,31.6,59.9,.528,14.9,20.4,.730,8.5,36.3,44.8,23.5,6.9,4.4,14.8,23.1,110.8
5,Orlando Magic,8,240.0,41.8,89.1,.468,11.8,31.1,.378,30.0,58.0,.517,16.6,21.1,.787,10.5,40.3,50.8,24.3,6.1,4.6,14.0,20.6,111.9
6,Houston Rockets,8,240.0,40.9,85.1,.480,9.3,26.5,.349,31.6,58.6,.539,21.1,25.3,.837,8.6,36.9,45.5,22.4,7.6,5.1,14.3,21.1,112.1
7,Detroit Pistons,8,246.3,40.1,87.0,.461,9.8,30.9,.316,30.4,56.1,.541,22.1,28.6,.773,7.8,37.0,44.8,25.1,6.9,4.4,13.5,25.3,112.1
8,Miami Heat,8,240.0,40.8,89.1,.457,11.5,30.6,.376,29.3,58.5,.500,19.3,26.5,.726,9.5,33.1,42.6,23.0,7.1,8.3,12.5,25.1,112.3
9,Boston Celtics,9,240.0,37.2,89.1,.418,9.1,31.9,.286,28.1,57.2,.491,16.2,22.9,.709,9.7,38.8,48.4,20.9,6.4,3.1,13.8,21.6,99.8
10,Denver Nuggets,9,242.8,37.8,84.4,.447,9.7,29.2,.331,28.1,55.2,.509,16.7,23.0,.725,9.2,31.9,41.1,23.8,7.9,5.6,15.3,23.8,101.9
11,Phoenix Suns,8,240.0,44.0,86.1,.511,9.4,28.4,.330,34.6,57.8,.600,19.4,25.3,.767,7.6,35.3,42.9,28.8,11.3,5.0,12.9,21.6,116.8
12,Toronto Raptors,9,240.0,39.2,92.4,.424,12.3,32.6,.379,26.9,59.9,.449,17.0,22.9,.743,12.9,33.4,46.3,23.0,6.1,4.9,15.2,21.1,107.8
13,Utah Jazz,9,240.0,41.2,87.0,.474,9.9,27.4,.360,31.3,59.6,.526,16.3,23.0,.710,8.6,32.4,41.0,22.0,8.6,3.9,13.6,25.4,108.7
14,New York Knicks,9,240.0,40.6,84.4,.480,11.7,31.1,.375,28.9,53.3,.542,17.0,22.4,.757,10.1,34.9,45.0,23.0,6.8,5.4,16.1,21.7,109.8
15,Los Angeles Clippers,9,240.0,39.8,92.9,.428,9.1,27.2,.335,30.7,65.7,.467,21.2,28.0,.758,11.6,33.1,44.7,21.7,8.6,6.0,12.0,25.6,109.9
16,Washington Wizards,8,243.1,44.8,92.9,.482,13.3,32.8,.405,31.5,60.1,.524,21.1,27.4,.772,13.0,38.4,51.4,28.4,8.4,5.0,15.9,22.8,123.9
17,Portland Trail Blazers,9,242.8,41.4,94.6,.438,10.4,30.9,.338,31.0,63.7,.487,17.4,24.4,.714,12.4,33.6,46.0,22.8,7.1,6.7,12.0,22.6,110.8
18,Brooklyn Nets,9,242.8,41.8,91.7,.456,9.9,27.4,.360,31.9,64.2,.497,19.4,24.3,.799,13.3,33.0,46.3,20.4,7.9,5.6,11.4,20.4,112.9
19,Indiana Pacers,10,240.0,37.3,85.5,.436,11.7,31.7,.369,25.6,53.8,.476,16.4,19.8,.828,10.5,31.8,42.3,22.2,6.4,5.9,15.0,19.7,102.7
