Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,10,240.0,46.3,89.0,.520,13.3,32.1,.414,33.0,56.9,.580,18.2,22.5,.809,9.8,37.3,47.1,30.7,8.2,6.1,15.0,22.8,124.1
2,Charlotte Hornets,10,240.0,42.7,91.3,.468,12.5,34.7,.360,30.2,56.6,.534,17.8,21.6,.824,10.6,34.5,45.1,25.1,6.0,6.8,11.9,20.9,115.7
3,Philadelphia 76ers,10,242.5,39.6,90.7,.437,11.9,34.3,.347,27.7,56.4,.491,22.0,27.8,.791,10.6,39.5,50.1,26.8,6.9,6.1,15.0,23.9,113.1
4,Los Angeles Lakers,9,242.8,47.1,94.7,.498,10.2,29.1,.351,36.9,65.6,.563,15.8,22.3,.706,10.1,35.0,45.1,25.7,9.2,6.7,15.1,23.6,120.2
5,Indiana Pacers,10,240.0,42.4,86.0,.493,9.2,23.6,.390,33.2,62.4,.532,13.9,19.6,.709,8.8,32.3,41.1,23.1,8.5,5.5,13.4,19.6,107.9
6,Sacramento Kings,9,240.0,46.1,91.7,.503,10.4,26.1,.400,35.7,65.6,.544,17.1,25.7,.667,10.1,35.9,46.0,25.6,8.6,4.9,14.2,22.3,119.8
7,Chicago Bulls,10,242.5,39.4,86.0,.458,11.5,29.9,.385,27.9,56.1,.497,16.9,22.0,.768,7.9,33.3,41.2,24.0,6.5,5.1,14.4,21.3,107.2
8,New Orleans Pelicans,9,240.0,43.9,91.6,.479,9.7,27.3,.354,34.2,64.2,.533,21.4,29.3,.731,11.4,35.0,46.4,26.1,7.4,5.4,14.2,24.7,118.9
9,Portland Trail Blazers,9,242.8,42.3,90.7,.467,11.6,31.6,.366,30.8,59.1,.521,21.7,25.2,.859,11.0,39.3,50.3,20.8,6.0,5.2,14.3,22.4,117.9
10,Toronto Raptors,9,240.0,43.8,90.6,.483,11.8,33.3,.353,32.0,57.2,.559,16.9,22.0,.768,10.2,36.1,46.3,26.0,8.4,6.6,13.0,22.9,116.2
11,Los Angeles Clippers,9,240.0,40.7,85.9,.473,9.6,24.4,.391,31.1,61.4,.506,24.9,30.3,.821,9.2,37.7,46.9,21.4,5.7,5.9,15.4,24.6,115.8
12,Minnesota Timberwolves,9,240.0,41.0,93.3,.439,11.2,30.7,.366,29.8,62.7,.475,20.9,25.3,.825,11.7,31.7,43.3,23.2,9.6,6.6,12.4,20.6,114.1
