Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,elo_away,elo_home,results,score_gap,elos,index_copy
Tue Oct 29 2013,7:00 pm,Orlando Magic,87,Indiana Pacers,97,,1490.5750112778453,1509.4249887221547,1,10,"[1509.4249887221547, 1490.5750112778453]",0
Tue Oct 29 2013,10:30 pm,Los Angeles Clippers,103,Los Angeles Lakers,116,,1490.5750112778453,1509.4249887221547,1,13,"[1509.4249887221547, 1490.5750112778453]",1
Tue Oct 29 2013,8:00 pm,Chicago Bulls,95,Miami Heat,107,,1490.5750112778453,1509.4249887221547,1,12,"[1509.4249887221547, 1490.5750112778453]",2
Wed Oct 30 2013,7:00 pm,Brooklyn Nets,94,Cleveland Cavaliers,98,,1490.5750112778453,1509.4249887221547,1,4,"[1509.4249887221547, 1490.5750112778453]",3
Wed Oct 30 2013,8:30 pm,Atlanta Hawks,109,Dallas Mavericks,118,,1490.5750112778453,1509.4249887221547,1,9,"[1509.4249887221547, 1490.5750112778453]",4
Wed Oct 30 2013,7:30 pm,Washington Wizards,102,Detroit Pistons,113,,1490.5750112778453,1509.4249887221547,1,11,"[1509.4249887221547, 1490.5750112778453]",5
Wed Oct 30 2013,10:30 pm,Los Angeles Lakers,94,Golden State Warriors,125,,1499.3164997052947,1509.6835002947053,1,31,"[1509.6835002947053, 1499.3164997052947]",6
Wed Oct 30 2013,8:00 pm,Charlotte Hornets,83,Houston Rockets,96,,1490.5750112778453,1509.4249887221547,1,13,"[1509.4249887221547, 1490.5750112778453]",7
Wed Oct 30 2013,8:00 pm,Orlando Magic,115,Minnesota Timberwolves,120,OT,1480.8613298404443,1509.1386701595557,1,5,"[1509.1386701595557, 1480.8613298404443]",8
Wed Oct 30 2013,8:00 pm,Indiana Pacers,95,New Orleans Pelicans,90,,1519.3164997052947,1489.6835002947053,0,5,"[1489.6835002947053, 1519.3164997052947]",9
Wed Oct 30 2013,7:30 pm,Milwaukee Bucks,83,New York Knicks,90,,1490.5750112778453,1509.4249887221547,1,7,"[1509.4249887221547, 1490.5750112778453]",10
Wed Oct 30 2013,7:00 pm,Miami Heat,110,Philadelphia 76ers,114,,1499.3164997052947,1509.6835002947053,1,4,"[1509.6835002947053, 1499.3164997052947]",11
Wed Oct 30 2013,10:00 pm,Portland Trail Blazers,91,Phoenix Suns,104,,1490.5750112778453,1509.4249887221547,1,13,"[1509.4249887221547, 1490.5750112778453]",12
